# Wavenumber Transmittence
1163.00 0.782640
1213.00 0.736500
1238.00 0.764300
1193.00 0.729540
1268.00 0.603100
1218.00 0.708200
1248.00 0.699680
1228.00 0.770480
1263.00 0.585940
1183.00 0.748240
1168.00 0.795920
1223.00 0.729260
1188.00 0.729740
1243.00 0.732320
1173.00 0.793660
1143.00 0.690740
1178.00 0.773920
1258.00 0.627020
1198.00 0.737460
1148.00 0.728900
1153.00 0.750840
1208.00 0.733820
1158.00 0.764820
1233.00 0.777460
1253.00 0.672620
1133.00 0.672480
1203.00 0.731200
1138.00 0.672820
