# Wavenumber,Transmittence
1528.00,0.743420
1508.00,0.708780
1583.00,0.833940
1473.00,0.267720
1598.00,0.793320
1553.00,0.772280
1578.00,0.835840
1518.00,0.732660
1463.00,0.000100
1543.00,0.751360
1588.00,0.828740
1458.00,0.000080
1493.00,0.626360
1533.00,0.739980
1523.00,0.746160
1573.00,0.835000
1568.00,0.829900
1478.00,0.435360
1558.00,0.790680
1563.00,0.814220
1513.00,0.723260
1498.00,0.664140
1483.00,0.527500
1548.00,0.762360
1593.00,0.815120
1503.00,0.690140
1468.00,0.087700
1488.00,0.588360
1538.00,0.743080
