# Wavenumber,Transmittence
1801.00,0.807560
1671.00,0.827600
1756.00,0.831040
1831.00,0.827600
1791.00,0.809540
1726.00,0.825040
1746.00,0.831500
1816.00,0.821880
1691.00,0.831180
1731.00,0.824200
1836.00,0.825160
1811.00,0.815480
1851.00,0.815420
1681.00,0.829120
1856.00,0.809720
1676.00,0.828460
1721.00,0.826340
1776.00,0.820540
1766.00,0.826480
1706.00,0.831480
1821.00,0.827380
1761.00,0.828860
1771.00,0.824000
1861.00,0.804300
1701.00,0.832100
1696.00,0.832460
1876.00,0.818080
1846.00,0.816020
1841.00,0.821140
1796.00,0.807000
1866.00,0.810300
1666.00,0.827600
1786.00,0.813120
1716.00,0.828200
1826.00,0.828800
1806.00,0.811380
1871.00,0.815620
1711.00,0.829960
1781.00,0.816860
1686.00,0.829800
1751.00,0.831840
1741.00,0.826020
1736.00,0.824060
