# Wavenumber	Transmittence
1236.00	0.841860
1296.00	0.836400
1196.00	0.840140
1211.00	0.834900
1216.00	0.833240
1286.00	0.838200
1201.00	0.839380
1291.00	0.837660
1321.00	0.831400
1261.00	0.838880
1251.00	0.836920
1256.00	0.837260
1316.00	0.831900
1186.00	0.837700
1241.00	0.840460
1326.00	0.830860
1221.00	0.833100
1246.00	0.838500
1281.00	0.838640
1271.00	0.839580
1311.00	0.832580
1191.00	0.840040
1306.00	0.833740
1276.00	0.839120
1206.00	0.837300
1226.00	0.835920
1231.00	0.841020
1301.00	0.834980
1266.00	0.839540
1181.00	0.834640
1331.00	0.830300
