# Wavenumber Transmittence
1422.50 0.752380
1483.44 0.894200
1488.13 0.905200
1577.19 0.989600
1567.81 0.991400
1445.94 0.816800
1520.94 0.970800
1497.50 0.930400
1530.31 0.982800
1558.44 0.990200
1544.38 0.990400
1441.25 0.818000
1506.88 0.946000
1427.19 0.792000
1586.56 0.994800
1478.75 0.877800
1572.50 0.993200
1511.56 0.957600
1502.19 0.938200
1431.88 0.807800
1535.00 0.985200
1581.88 0.992600
1516.25 0.964800
1460.00 0.858400
1455.31 0.813000
1553.75 0.990400
1563.13 0.993200
1549.06 0.993200
1450.63 0.784220
1474.06 0.872400
1436.56 0.813600
1464.69 0.867600
1539.69 0.987800
1525.63 0.977800
1469.38 0.871200
1591.25 0.988800
1492.81 0.915400
