# Wavenumber Transmittence
3128.75 1.000000
3002.19 0.353180
3063.13 0.985880
3105.31 0.997040
3138.13 1.000000
3049.06 0.960120
3035.00 0.841600
3025.63 0.724220
3100.63 0.997000
2997.50 0.315940
3142.81 1.000000
3072.50 0.991060
3114.69 0.998060
3133.44 1.000000
3095.94 0.996560
3053.75 0.973600
3039.69 0.901400
3147.50 1.000000
3119.38 0.999860
3091.25 0.995000
3030.31 0.787900
3067.81 0.988880
3016.25 0.571840
3124.06 1.000000
3077.19 0.992760
3156.88 1.000000
3086.56 0.995000
3044.38 0.937260
3081.88 0.994580
3020.94 0.633360
2992.81 0.270540
3110.00 0.997940
3058.44 0.982220
3006.88 0.410360
3152.19 1.000000
3011.56 0.484880
